Nombre,Direccion,Telefono,Latitud,Longitud
Departamento de Migraciones y Policía Internacional Iquique,"Salvador Allende 2901, Iquique",57- 243 80 06,-20.2408333162590,-70.1347211490874
Brigada Antinarcóticos y Contra el Crimen Organizado Iquique,"Salvador Allende 2901, Iquique",57 - 224 75 27,-20.2408333162590,-70.1347211490874
Brigada Investigadora de Delitos Sexuales Iquique,"Barros Arana 1699, Iquique",57 - 224 7704,-20.2242133135360,-70.1479211493035
Laboratorio de Criminalística Cobertura Zona Norte Iquique,"Salvador Allende 2901, Iquique",57 - 224 75 38,-20.2408333162590,-70.1347211490874
Brigada de Delitos Económicos Iquique,"Barros Arana 1099, Iquique",57 - 224 76 70,-20.2184033125830,-70.1476611492992
Brigada de Investigación Criminal Alto Hospicio,"Las Américas 4190, Alto Hospicio",57 - 224 76 24,-20.2881523324010,-70.1034811485754
Brigada Investigadora de Trata de Personas,"Las Américas 4190, Alto Hospicio",57 - 224 76 43,-20.2881523324010,-70.1034811485754
Laboratorio de Criminalística Regional Antofagasta,"Pje. Abaroa 2768, Antofagasta",55-244 14 33,-23.6447438739554,-70.3975711533938
Brigada de Investigación Criminal Antofagasta,"Pje. Abaroa 2768, Antofagasta",55-244 14 42,-23.6447438739554,-70.3975711533938
Brigada Investigadora de Robos Antofagasta,"Pje. Abaroa 2768, Antofagasta",55-244 14 03,-23.6447438739554,-70.3975711533938
Brigada de Homicidios Antofagasta,"Pje. Abaroa 2768, Antofagasta",55-244 15 01,-23.6447438739554,-70.3975711533938
Brigada Investigadora de Delitos Sexuales Antofagasta,"Pje. Abaroa 2768, Antofagasta",55 2441514,-23.6447438739554,-70.3975711533938
Brigada Antinarcóticos  y Contra el Crimen Organizado Antofagasta,"Pje. Abaroa 2768, Antofagasta",55-244 14 77,-23.6447438739554,-70.3975711533938
Brigada Antinarcóticos Calama,"Granaderos 2197, Calama",55-244 15 64,-22.4591036797004,-68.9283711293224
Brigada de Investigación Criminal Calama,"Granaderos 2197, Calama",55-244 15 73,-22.4591036797004,-68.9283711293224
Brigada de Investigación Criminal Tocopilla,"21 de mayo n°1299, Tocopilla",55-244 1664,-22.0887183619015,-70.1960671150092
Brigada Investigadora de Delitos Contra el Medioambiente y Patrimonio Antofagasta,"Washington Nº 2438, Antofagasta",55-2 44 1410 / 55-2 44 1489,-23.6475638744173,-70.4000011534337
Brigada de Investigación Criminal Copiapó,"Atacama 1098, Copiapó",52-254 07 12,-27.3721544846543,-70.3289115226884
Departamento de Migraciones y Policía Internacional,"Av. Los Carrera N°691, segundo piso, Copiapó",52-259 08 47,-27.3758644852624,-70.3164311520644
Laboratorio de Criminalística Regional Copiapó,"Atacama 1098, Copiapó",52-254 08 48,-27.3721544846543,-70.3289115226884
Brigada Antinarcóticos  y Contra el Crimen Organizado Copiapó,"Atacama 1098, Copiapó",52-254 07 09,-27.3721544846543,-70.3289115226884
Brigada Investigadora de Delitos Económicos Copiapó,"Atacama 1098, Copiapó",52-254 07 18,-27.3721544846543,-70.3289115226884
Brigada Investigadora de Delitos Sexuales Copiapó,"Atacama 1098, Copiapó",52-254 07 51 / 52-254 07 12,-27.3721544846543,-70.3289115226884
Brigada Investigadora de Robos Copiapó,"Atacama 1098, Copiapó",52-254 07 52,-27.3721544846543,-70.3289115226884
Brigada Investigadora de Medio Ambiente y Patrimonio Cultural,"Av Los Carrera 691, segundo piso, Copiapó",52-259 08 47,-27.3660844836601,-70.3313311523085
Brigada de Investigación Criminal Chañaral,"Merino Jarpa 1400, Chañaral",52-254 08 71,-26.3422743159184,-70.6192411570257
Departamento de Migraciones y Policía Internacional Chañaral,"Merino Jarpa 1400, Chañaral",52-254 08 73,-26.3422743159184,-70.6192411570257
Brigada de Investigación Criminal Vallenar,"Merced 620, Vallenar",51-251 02 14,-28.5735146814840,-70.7612511593524
Departamento de Migraciones y Policía Internacional Vallenar,"Merced 620, Vallenar",51-251 02 15,-28.5735146814840,-70.7612511593524
Brigada de Investigación Criminal La Serena,"Anfión Muñoz 700, La Serena",51- 267 10 28,-29.9088734900269,-71.2496091167353
Departamento de Migraciones y Policía Internacional La Serena,"Balmaceda 1010, La Serena",51- 267 1161,-29.9089649002855,-71.2498911673582
Brigada Antinarcóticos  y Contra el Crimen Organizado La Serena,"Anfión Muñoz 700, La Serena",51 -267 10 28,-29.9088734900269,-71.2496091167353
Brigada de Delitos Económicos La Serena,"Anfión Muñoz 700, La Serena",51 - 267 1028,-29.9088734900269,-71.2496091167353
Brigada de Delitos Sexuales La Serena,"Anfión Muñoz 700, La Serena",569 -4207 26 93,-29.9088734900269,-71.2496091167353
Brigada de Homicidios La Serena,"Calle Aníbal Pinto N° 400, Coquimbo",51 - 267 11 97,-29.9551490784964,-71.3396116882810
Brigada Investigadora de Robos La Serena,"Calle Aníbal Pinto N° 400, Coquimbo",51 - 267 11 97,-29.9551490784964,-71.3396116882810
