Nombre,Direccion,Latitud,Longitud
RETEN PICHIDANGUI,"La Raya 73, Los Vilos, Coquimbo Region, Chile",-32.14141662685254,-71.52639033505511
SUBCOMISARÍA LOS VILOS,"Tucapel 599, 2030000 Los Vilos, Coquimbo Region, Chile",-31.91462524841345,-71.51020251185821
RETEN COIRON (F),"18 de Septiembre, 2030000 Salamanca, Coquimbo Region, Chile",-31.9033939,-70.775087
SUBCOMISARÍA SALAMANCA,"O'Higgins 599, 2030000 Salamanca, Coquimbo Region, Chile",-31.779583984947006,-70.96507733671103
TENENCIA PUNITAQUI,"Caupolicán 1150, 1900026 Punitaqui, Coquimbo Region, Chile",-30.833146466086042,-71.25773017031344
RETEN CHAÑARAL ALTO,"Los Libertadores, 188 Monte Patria, Coquimbo Region, Chile",-30.8795374682738,-71.01033249874428
RETEN EL PALQUI,"Galvarino, 1800000 Monte Patria, Coquimbo Region, Chile",-30.768474222830594,-70.94348315326255
RETEN LAS TORTOLAS (F),"Ruta D-557, Monte Patria, Coquimbo Region, Chile",-30.742772602221454,-70.59974802660736
RETEN PEDREGAL (F),"Ruta D-577, Monte Patria, Coquimbo Region, Chile",-30.854423244166544,-70.70956617781923
SUBCOMISARÍA MONTE PATRIA,"Ponio 149, 1800000 Monte Patria, Coquimbo Region, Chile",-30.69628739789293,-70.95884482689314
RETEN TULAHUEN (F),"Ruta D-597, 188 Monte Patria, Coquimbo Region, Chile",-30.964620083246878,-70.76905322671081
3A. COMISARÍA ALGARROBO,"Carabineros de Chile 86, 2710000 Algarrobo, Valparaiso Region, Chile",-33.3653178544013,-71.66910209019841
2A. COMISARÍA DE CARTAGENA,"Avenida Cartagena 735, 2681425 Cartagena, Valparaiso Region, Chile",-33.547694866505566,-71.59786935113505
5A COMISARÍA DE CASABLANCA,"Membrillar 125, 2480454 Casablanca, Valparaiso Region, Chile",-33.3204518739098,-71.40838732436669
RETEN QUINTAY,"Jorge Montt 903, Casablanca, Valparaiso Region, Chile",-33.1964825,-71.6968169
4A. COMISARÍA CONCON,"Manantiales 933, 2511340 Concón, Valparaiso Region, Chile",-32.9290569,-71.51633950000002
6A. COMISARÍA DE ISLA DE PASCUA,"Mataveri 1, 4600000 Easter Island, Valparaiso Region, Chile",-27.16078046615784,-109.43706292209015
TENENCIA ASIST.MENORES ISLA PASCUA,"Mataveri 1, 4600000 Easter Island, Valparaiso Region, Chile",-27.1610888,-109.4368804
7A. COMISARÍA DE LA CALERA,"José Joaquín Pérez 598, 2291066 La Calera, Valparaiso Region, Chile",-32.78429905737931,-71.19062780000002
RETEN LOS MOLLES,"Hermanos de la Costa 368, La Ligua, Valparaiso Region, Chile",-32.23170068544891,-71.50687899510649
RETEN VALLE HERMOSO,"Esmeralda 3555, 2030000 La Ligua, Valparaiso Region, Chile",-32.4428732,-71.19824349999999
1A. COMISARÍA DE LA LIGUA,"Avenida Diego Portales 333, 2030884 La Ligua, Valparaiso Region, Chile",-32.45001322414652,-71.22943695337295
3A. COMISARÍA LIMACHE,"Arturo Prat 5, 2240218 Limache, Valparaiso Region, Chile",-32.98616637623081,-71.27828201755574
PREFECTURA MARGA MARGA,"Arturo Prat 381, 2240273 Limache, Valparaiso Region, Chile",-32.986457,-71.2781475
3A. COMISARÍA LOS ANDES,"Santa Teresita de Los Andes 470, 2100353 Los Andes, Valparaiso Region, Chile",-32.833611695714836,-70.60349500202443
SUBCOMISARÍA LOS LIBERTADORES (F),"Ruta 60 CH, Los Andes, Valparaiso Region, Chile",-32.84566998828999,-70.11909633306578
4A. COMISARÍA QUILLOTA,"Chacabuco 481, 2260476 Quillota, Valparaiso Region, Chile",-32.87837094409517,-71.2489894932541
RETEN LAS CRUZADAS,"Avenida Alfredo Dueñas 230, 2260000 Quillota, Valparaiso Region, Chile",-32.9373216,-71.2751328
2A. COMISARÍA DE QUILPUÉ,"Avenida Alcalde Subercaseaux 1570, 2441319 Quilpué, Valparaiso Region, Chile",-33.055322992313144,-71.43878392394254
TENENCIA EL BELLOTO,"Avenida Ramón Freire 560, 2421436 Quilpué, Valparaiso Region, Chile",-33.04622530578651,-71.4047752576721
1A. COMISARÍA DE SAN ANTONIO,"La Marina 1985, 2662684 San Antonio, Valparaiso Region, Chile",-33.5975251,-71.61230360000002
RETEN CUNCUMEN (M.C.),"Ruta G-800, 2660000 San Antonio, Valparaiso Region, Chile",-33.735903208953474,-71.42187806729885
SUBCOMISARÍA LLO LLEO,"México 275, 2661141 San Antonio, Valparaiso Region, Chile",-33.6108353942988,-71.61815244511098
SUBCOM I.A.T Y CARRETERA SAN FELIPE,"Ruta 5 Norte, 2220000 Llay-Llay, Valparaiso Region, Chile",-32.85188849350094,-70.94078430000002
2A. COMISARÍA DE SAN FELIPE,"Avenida Libertador Bernardo O'Higgins 200, 2171516 San Felipe, Valparaiso Region, Chile",-32.755108005091785,-70.7266637675798
RETEN CURIMON,"Camino del Inca 35, 2172099 San Felipe, Valparaiso Region, Chile",-32.78407951863788,-70.68792660148688
1A. COMISARÍA VALPARAÍSO SUR,"Aguayo 42, 2360298 Valparaíso, Valparaiso Region, Chile",-33.0294080650401,-71.63772579601289
2A. COMISARÍA VALPARAÍSO CENTRAL,"Avenida Colón 1823, 2380464 Valparaíso, Valparaiso Region, Chile",-33.04822024323882,-71.61859432644616
3A. COMISARÍA VALPARAÍSO NORTE,"Guacolda 213, 2350227 Valparaíso, Valparaiso Region, Chile",-33.04327223594619,-71.601226850324
8A. COMISARÍA FLORIDA,"Héctor Calvo 853, 2381665 Valparaíso, Valparaiso Region, Chile",-33.053230862831676,-71.62188679762266
RETEN CABO 1° JUAN CARLOS SILVA TORO,"Colo Colo 20, 2390000 Valparaíso, Valparaiso Region, Chile",-33.056505,-71.55960649999997
RETÉN ISLA ROBINSON CRUSOE (F),"Calle El Sándalo 194, 2600000 Juan Fernández, Valparaiso Region, Chile",-33.63954220638647,-78.83034850118867
RETEN LAGUNA VERDE,"Avenida Principal, 236 Valparaíso, Valparaiso Region, Chile",-33.104450127129155,-71.66822081349181
SUBCOMISARÍA LAS CAÑAS,"Los Alerces 318, 2340726 Valparaíso, Valparaiso Region, Chile",-33.0589509,-71.6072493
RETEN PLACILLA PEÑUELAS,"Avenida Cardenal Samoré 1278, 2372063 Valparaíso, Valparaiso Region, Chile",-33.11464811309181,-71.57647258790928
SUBCOMISARÍA I.A.T. VALPARAISO,"Guacolda 210, 2350224 Valparaíso, Valparaiso Region, Chile",-33.043344,-71.601109
TENENCIA CARRETERA VALPARAISO,"Ruta 68, 2370000 Valparaíso, Valparaiso Region, Chile",-33.14681204229558,-71.56048522156527
TENENCIA CORDILLERA,"General Tupper 147, 2362672 Valparaíso, Valparaiso Region, Chile",-33.043271119694715,-71.63798738845242
TENENCIA OHIGGINS,"Jorge Kenrick 105, 2351654 Valparaíso, Valparaiso Region, Chile",-33.06161997356348,-71.5864906596023
TENENCIA RODELILLO,"Juan Gómez 73, 2351345 Valparaíso, Valparaiso Region, Chile",-33.057756849123585,-71.57697373721675
V ZONA VALPARAÍSO,"Buenos Aires 753, 2380465 Valparaíso, Valparaiso Region, Chile",-33.0489749,-71.6184482
PREFECTURA VALPARAÍSO,"Buenos Aires 750, 2380465 Valparaíso, Valparaiso Region, Chile",-33.04875500297013,-71.61869985332498
7A. COMISARÍA FF.EE. VALPARAÍSO,"José Santos Ossa 86, Valparaíso, Valparaiso Region, Chile",-33.0683372,-71.5765607
SUBCOMISARÍA PLACILLA,"Avenida Cardenal Samoré 1278, 2372063 Valparaíso, Valparaiso Region, Chile",-33.1143909,-71.5767514
9NA. COMISARIA CONGRESO NACIONAL,"Avenida Pedro Montt 2863, 2340111 Valparaíso, Valparaiso Region, Chile",-33.0478544,-71.6055459
6A. COMISARÍA DE VILLA ALEMANA,"Arturo Prat 51, 2470000 Villa Alemana, Valparaiso Region, Chile",-33.04332409969438,-71.37100359641005
1A. COMISARÍA DE VIÑA DEL MAR,"4 Poniente 320, 2520192 Viña del Mar, Valparaiso Region, Chile",-33.01899934043897,-71.5555594754631
5A. COMISARÍA DE VIÑA DEL MAR (S.U.),"Pasaje 14 4, 2560448 Viña del Mar, Valparaiso Region, Chile",-33.023025260410684,-71.51760510006386
RETEN PALACIO PRESIDENCIAL,"Callao 351, 2571462 Viña del Mar, Valparaiso Region, Chile",-33.0211615,-71.5640431
SUBCOMISARÍA GOMEZ CARREÑO,"Cono Sur 5083, 2541168 Viña del Mar, Valparaiso Region, Chile",-32.999460267357186,-71.51867358213957
TENENCIA FORESTAL,"Simón Bolívar 360, 2570020 Viña del Mar, Valparaiso Region, Chile",-33.029591122019546,-71.5438691435989
TENENCIA NUEVA AURORA,"Agua Santa 20, 2581458 Viña del Mar, Valparaiso Region, Chile",-33.04752832723051,-71.56485951391261
TENENCIA RECREO,"18 de Septiembre 298, 2580503 Viña del Mar, Valparaiso Region, Chile",-33.030992961309494,-71.57896834976918
TENENCIA REÑACA,"Bellavista 14810, 2542620 Viña del Mar, Valparaiso Region, Chile",-32.969649782822515,-71.54250079524411
TENENCIA REÑACA ALTO,"Calle Nueve 481, 2550468 Viña del Mar, Valparaiso Region, Chile",-32.99786183853707,-71.48594335800601
RETEN CASAS DE ALICAHUE,"Ruta E-445, 205 Cabildo, Valparaiso Region, Chile",-32.348955947217696,-70.7858335028738
RETEN CHINCOLCO,"Avenida Pedro Montt 1651, 2030000 Petorca, Valparaiso Region, Chile",-32.223666417374,-70.84292506071318
TENENCIA CARRETERAS PETORCA,"Ruta 5 Norte, 2030000 Papudo, Valparaiso Region, Chile",-32.43598003422774,-71.32462167843477
TENENCIA PETORCA,"Silva 695, 2030000 Petorca, Valparaiso Region, Chile",-32.2508997,-70.93098309999999
RETEN LAS VENTANAS,"Avenida Pedro Aldunate Solar 1028, 2500000 Puchuncaví, Valparaiso Region, Chile",-32.743789585701045,-71.48614963079484
RETEN HORCON,"Acceso Norte a Horcón, 2500000 Puchuncaví, Valparaiso Region, Chile",-32.71639316416889,-71.48617850322893
RETEN MAITENCILLO,"Padre Enrique del Río 463, Puchuncaví, Valparaiso Region, Chile",-32.646008434866495,-71.43006546042693
TENENCIA PUCHUNCAVI,"Avenida Presidente Ríos 901, 2500000 Puchuncaví, Valparaiso Region, Chile",-32.71897837782557,-71.40843456488068
SUBCOMISARÍA QUINTERO,"Orione 112, 2490830 Quintero, Valparaiso Region, Chile",-32.78750759738166,-71.52793070844865
TENENCIA SAN ESTEBAN (F),"Avenida Alessandri 791, 2100000 San Esteban, Valparaiso Region, Chile",-32.8009901667534,-70.58167944190268
TENENCIA CALLE LARGA,"Calle Larga 2088, 2100000 Calle Larga, Valparaiso Region, Chile",-32.855843131541654,-70.62684952728
TENENCIA RINCONADA,"San Martín 593, 2100000 Rinconada, Valparaiso Region, Chile",-32.83288868767515,-70.688630046659
TENENCIA CABILDO,"Avenida Humeres 624, 2030000 Cabildo, Valparaiso Region, Chile",-32.4255354097281,-71.06486611557636
RETEN PAPUDO,"Domingo Fernández Concha 541, 2070224 Papudo, Valparaiso Region, Chile",-32.50625291712783,-71.44158677953317
RETEN CACHAGUA,"Quebracho 312, 2060130 Zapallar, Valparaiso Region, Chile",-32.57754510144532,-71.45304940563994
RETEN CATAPILCO,"Balmaceda 123, 2030000 Zapallar, Valparaiso Region, Chile",-32.5675976,-71.2758614
RETEN ZAPALLAR,"Diego Sutil 717, 2060382 Zapallar, Valparaiso Region, Chile",-32.555734016593604,-71.45448778530442
RETEN EL MELON,"Bernardo O'Higgins 24, 2300657 Nogales, Valparaiso Region, Chile",-32.69046065325483,-71.21343870188963
TENENCIA NOGALES,"Pedro Félix Vicuña 611, 2300319 Nogales, Valparaiso Region, Chile",-32.739298132835856,-71.19975236958828
TENENCIA LA CRUZ,"21 de Mayo 2910, 2280231 La Cruz, Valparaiso Region, Chile",-32.84731296722272,-71.23250390776565
TENENCIA OLMUE,"Avenida Adolfo Eastman 2090, 2330000 Olmué, Valparaiso Region, Chile",-32.99837418574382,-71.18764936256059
SUBCOMISARÍA EL QUISCO,"Avenida Isidoro Dubournais 270, 2701870 El Quisco, Valparaiso Region, Chile",-33.39781085344575,-71.69434025026248
TENENCIA EL TABO,"Chacabuco 652, 2690376 El Tabo, Valparaiso Region, Chile",-33.45293701796262,-71.66602930958118
RETEN LAS CRUCES,"Avenida Errázuriz 101, 2701641 El Tabo, Valparaiso Region, Chile",-33.49869252662042,-71.61510131230318
SUBCOMISARÍA DE ROCAS SANTO DOMINGO,"Ruta de la Fruta 287, 2720444 Santo Domingo, Valparaiso Region, Chile",-33.63426655857432,-71.61086007976269
RETEN GUZMANES,"Ruta E-531, 2170000 Putaendo, Valparaiso Region, Chile",-32.582842471879765,-70.73363104151468
RETEN LOS PATOS (F),"Ruta E-525, Putaendo, Valparaiso Region, Chile",-32.50136201938249,-70.58135091974816
RETEN QUEBRADA HERRERA,"Calle Ortiz, 2170000 Putaendo, Valparaiso Region, Chile",-32.69166838289824,-70.74842642589647
TENENCIA PUTAENDO,"San Martín 796, 2190076 Putaendo, Valparaiso Region, Chile",-32.62297403323803,-70.71629476861978
RETEN HIJUELAS,"Cuartel 32, 2310000 Hijuelas, Valparaiso Region, Chile",-32.80218002658343,-71.14409338465578
TENENCIA CARRETERA HIJUELAS,"Ruta 5 Norte, Hijuelas, Valparaiso Region, Chile",-32.80119726469532,-71.15485316983643
TENENCIA CATEMU,"Arturo Prat 91, 2230303 Catemu, Valparaiso Region, Chile",-32.77886171802488,-70.96186403996228
SUBCOMISARÍA LLAY LLAY,"San Francisco 97, 2220200 Llay-Llay, Valparaiso Region, Chile",-32.84229839546314,-70.9552587822044
RETEN PANQUEHUE,"Ruta 60 CH 1158, Panquehue, Valparaiso Region, Chile",-32.7695190470338,-70.8339250424259
SUBCOMISARIA I.A.T. Y CARRETERAS SAN FELIPE,"Ruta 5 Norte, 2220000 Llay-Llay, Valparaiso Region, Chile",-32.851369,-70.940626
TENENCIA SANTA MARIA,"Irarrázaval 182, 2170000 Santa María, Valparaiso Region, Chile",-32.748671328197055,-70.65766649130364
